PolityID,PolityName,PolityType,StateAbbr
760,Bhutan,State,BHU
761,Sikkim,Territory,
770,Pakistan,State,PAK
771,Bangladesh,State,BNG
775,Myanmar,State,MYA
780,Sri Lanka,State,SRI
781,Maldives,State,MAD
790,Nepal,State,NEP
800,Thailand,State,THI
810,French Indochina,Territory,
811,Cambodia,State,CAM
812,Laos,State,LAO
815,Vietnam,Territory,
816,Vietnam,State,DRV
817,Republic of Vietnam,State,RVN
820,Malaysia,State,MAL
821,Federated Malay States,Territory,
823,Sabah (North Borneo),Territory,
824,Sarawak,Territory,
827,Straits Settlements,Territory,
830,Singapore,State,SIN
835,Brunei,State,BRU
840,Philippines,State,PHI
850,Indonesia,State,INS
851,West Irian (Dutch New Guinea),Territory,
860,East Timor,State,ETM
900,Australia,State,AUL
901,New South Wales,Territory,
902,Western Australia,Territory,
903,South Australia,Territory,
904,Victoria,Territory,
905,Queensland,Territory,
906,Tasmania,Territory,
910,Papua New Guinea,State,PNG
911,Papua,Territory,
912,New Guinea (German New Guinea) (KaiserWilhelmsland),Territory,
920,New Zealand,State,NEW
925,Cook Is.,Territory,
930,New Caledonia and Dependencies,Territory,
935,Vanuatu,State,VAN
940,Solomon Islands,State,SOL
945,Gilbert and Ellice Is.,Territory,
946,Kiribati,State,KIR
947,Tuvalu,State,TUV
950,Fiji,State,FIJ
955,Tonga,State,TON
960,French Polynesia,Territory,
970,Nauru,State,NAU
980,U. S. Pacific Trust Territories,Territory,
983,Marshall Islands,State,MSI
984,Northern Marianas Is.,Territory,
985,Guam,Territory,
986,Palau,State,PAL
987,Federated States of Micronesia,State,FSM
990,Samoa,State,WSM
991,American Samoa,Territory,
1001,States of America,Territory,
1002,Confederate States of America,Territory,
1003,Attu and Kiska,Territory,
1004,North Carolina,Territory,
1005,Virginia,Territory,
1006,Tennessee,Territory,
1007,Arkansas,Territory,
1008,Florida,Territory,
1009,South Carolina (Palmetto Republic),Territory,
1010,Georgia,Territory,
1011,Alabama,Territory,
1012,Mississippi,Territory,
1013,Louisana,Territory,
1014,California (Great Bear Republic),Territory,
1015,Cherokee,Territory,
1016,Oregon Country,Territory,
1017,Eastern Greenland,Territory,
1018,U.S. Leased Bases in Newfoundland,Territory,
1019,Rupert's Land,Territory,
1020,San Juan Island,Territory,
1021,Cape Breton I.,Territory,
1022,Nova Scotia,Territory,
1023,New Brunswick,Territory,
1024,Prince Edward Is.,Territory,
1025,Quebec (Lower Canada),Territory,
1026,Ontario (Upper Canada),Territory,
1027,British Columbia,Territory,
1028,Vancouver,Territory,
1029,St. Pierre and Miquelon,Territory,
1030,U.S. Leased Bases in Bermuda,Territory,
1031,Mayaguana,Territory,
1032,Turks and Caicos Is.,Territory,
1033,Cayman Is.,Territory,
1040,Guantanamo,Territory,
1041,North Haiti,Territory,
1044,Navassa I.,Territory,
1049,Tobago,Territory,
1051,U.S. Leased Bases in Jamaica,Territory,
1052,U.S. Leased Bases in Trinidad,Territory,
1055,Windward Is.,Territory,
1056,Gros Islet Bay,Territory,
1058,Barbuda,Territory,
1059,U.S. Leased Bases in Antigua,Territory,
1061,British Virgin Is.,Territory,
1062,Anguilla,Territory,
1063,Leeward Is.,Territory,
1064,St. Barthelemy,Territory,
1065,Curacao,Territory,
1066,Bonaire,Territory,
1067,Saba,Territory,
1068,Sint Eustatius,Territory,
1069,Aruba,Territory,
1070,Viceroyalty of New Spain,Territory,
1071,Yucatan,Territory,
1072,Revillagigedo Is,Territory,
1073,Sint Martin,Territory,
1074,Dutch Windward Is.,Territory,
1075,St.Kitts,Territory,
1076,Nevis,Territory,
1081,Mosquito Coast,Territory,
1082,Bay Is.,Territory,
1087,Swan Is.,Territory,
1088,Corn Is.,Territory,
1094,Cocos I.,Territory,
1097,Panama Canal Operating Area,Territory,
1101,Quita Sueno Bank,Territory,
1102,Roncador Cay,Territory,
1103,Serrana Bank,Territory,
1104,Serranilla Bank,Territory,
1105,San Andres and Providincial Is.,Territory,
1106,Malpelo I.,Territory,
1111,Aves I.,Territory,
1112,U.S. Leased Bases in Br. Guiana,Territory,
1113,Demerara and Essequibo,Territory,
1114,Berbice,Territory,
1135,Viceroyalty of Peru,Territory,
1151,Easter I.,Territory,
1152,Free Surinam (Juan Fernandez I.),Territory,
1153,San Felix and San Ambrosio,Territory,
1154,Sala y Gomez,Territory,
1156,Araucania,Territory,
1160,Viceroyalty of La Plata,Territory,
1161,Buenos Aires,Territory,
1162,Cordoba,Territory,
1163,Falkland Is.,Territory,
1164,South Georgia,Territory,
1165,South Georgia and South Sandwich Is.,Territory,
1166,San Juan,Territory,
1167,Corrientes,Territory,
1168,Martin Garcia I.,Territory,
1201,Inini,Territory,
1301,Galapagos Is.,Territory,
1352,Chincha Is.,Territory,
1401,Rio Grande do Sul,Territory,
1402,Juliana Republic,Territory,
1407,Acre,Territory,
1408,St. Paul's Rocks,Territory,
1409,Trinidade Island,Territory,
2001,Rockall I.,Territory,
2002,Lundy,Territory,
2051,UK Bases in Ireland,Territory,
2111,Moresnet,Territory,
2221,Roquebrune and Menton,Territory,
2246,Lauenburg,Territory,
2247,Schleswig,Territory,
2248,Holstein,Territory,
2249,Heligoland,Territory,
2251,Neuchatel,Territory,
2292,Cracow,Territory,
2311,Spain-Gibralter Neutral Zone,Territory,
2333,Ile des Faisans,Territory,
2481,Bergedorf,Territory,
2482,Schleswig Plebiscite Zone,Territory,
2551,Allenstein Plebiscite Zone,Territory,
2552,Marienwerder Plebiscite Zone,Territory,
2553,Silesia Plebiscite Zone,Territory,
2556,Rhineland,Territory,
